
## linkding-remove-original-markdown completed
source_refuted | The fixed source enforces the declared expectation that only the bookmark owner may delete. The route maps the shared-action endpoint to shared_action, which dispatches a POST containing only remove to remove. remove then obtains the bookmark through bookmark_write, whose query requires owner=request.user; a non-owner therefore cannot obtain the target and the delete call is unreachable. The actual decision for the stated caller and bookmark is deny (via the visible ownership gate, ordinarily as a not-found response), not allow. Sharing changes the read relationship only: bookmark_read permits an authenticated user to read a shared bookmark when the owner's sharing setting is enabled, but its POST path also rejects non-owners, and the deletion path uses the stricter owner-bound write accessor rather than the sharing read accessor. The supplied superuser/role facts do not create an alternate visible bypass in this entry. Task assumptions include the authenticated identity, bookmark state/settings, POST contents, CSRF and unrelated infrastructure checks, and standard Django/ORM behavior; no decisive external fact is needed to decide this bounded source path. Repository-wide completeness, deployment middleware, and other entries are not assessed.
fact[0] entry The shared bookmark action route is bound to shared_action, and the supplied POST-only operation reaches that entry. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 35, "endLine": 39}]
fact[1] entry shared_action invokes handle_action, and handle_action dispatches a remove POST field to remove with the submitted bookmark identifier. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 368}]
fact[2] binding The entry requires an authenticated user through the login-required decorator; the deletion accessor compares the bookmark owner with request.user. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 347}, {"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[3] binding The deletion target is selected by primary key together with owner=request.user, so a non-owner cannot receive the existing bookmark from this write accessor. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[4] control The strongest visible authorization control on this path is the owner-constrained bookmark_write lookup, which raises Http404 when the caller is not the owner. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[5] effect After the owner-bound lookup succeeds, remove invokes bookmark.delete(), which is the protected deletion effect. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 255, "endLine": 258}]
fact[6] condition The supplied source distinguishes shared-read access from write access: shared bookmarks can be read for an authenticated non-owner when sharing is enabled, while POST access for a non-owner is rejected; this does not authorize deletion. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 23}]
fact[7] condition Under the stated non-owner relation, the caller fails the owner=request.user resource condition even though the bookmark is shared; the relation therefore changes the result from the owner-eligible deletion path to denial before the delete effect. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}, {"sourceId": "src-b082ceda16e389bc", "startLine": 255, "endLine": 258}]
Missing: []

## linkding-remove-original-dsl completed
source_refuted | The declared policy expectation is deny, and the supplied source enforces that expectation for the stated non-owner state. The route binds POST bookmarks/shared/action to shared_action, whose login gate requires authentication and whose action dispatcher sends a request containing only remove=<id> to remove. The selected bookmark is bound by the submitted identifier to a Bookmark lookup constrained by owner=request.user; therefore the request caller is also the required owner of the selected resource. For the declared non-owner, that lookup cannot return the shared bookmark, so the path raises the access failure before deletion. The strongest visible authorization control is this owner-constrained query, not the shared-bookmark read path: sharing is relevant to visibility, while deletion uses bookmark_write and requires ownership. The protected effect is bookmark.delete(), and it is reachable only on the owner branch. Thus the actual authorization decision for the supplied principal/resource/relation is deny, while the conclusion label source_refuted means the source refutes a policy failure. No decisive source-external fact is needed under the stated assumptions that the request reaches this view, passes unrelated infrastructure checks, and uses the supplied identity/settings. Framework authentication, deployment middleware, storage success, and repository-wide completeness remain outside this fixed-context assessment and were not used to infer a result.
fact[0] entry The shared-action URL is mapped to the shared_action view. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 35, "endLine": 40}]
fact[1] control The declared entry is protected by a login-required decorator and rejects bulk actions before dispatching other actions. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 353}]
fact[2] binding The deletion access lookup uses the runtime request user as the bookmark owner constraint. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[3] binding The submitted bookmark identifier is passed as the lookup key for the bookmark selected by the request. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 361, "endLine": 369}]
fact[4] control The selected bookmark is returned only when its owner equals the runtime caller; otherwise the access helper raises a not-found failure. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[5] effect The protected deletion effect invokes delete on the bookmark returned by the owner-constrained access helper. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 255, "endLine": 258}]
